Lat,Lon,,
15.684,131.594,,
15.620,131.912,,
15.556,132.230,,
15.490,132.547,,
15.423,132.864,,
15.356,133.180,,
15.287,133.496,,
15.218,133.812,,
15.148,134.127,,
15.077,134.442,,
15.005,134.756,,
14.932,135.070,,
14.858,135.383,,
14.784,135.696,,
14.708,136.009,,
14.632,136.321,,
14.555,136.632,,
14.477,136.944,,
14.398,137.254,,
14.701,82.664,,
14.780,82.976,,
14.858,83.288,,
14.936,83.600,,
15.012,83.913,,
15.088,84.226,,
15.163,84.540,,
15.237,84.855,,
15.310,85.169,,
15.383,85.485,,
15.454,85.800,,
15.524,86.116,,
15.594,86.433,,
15.663,86.750,,
15.731,87.067,,
15.798,87.385,,
15.864,87.703,,
15.929,88.021,,
15.993,88.340,,
16.056,88.660,,
16.119,88.980,,
16.180,89.300,,
16.241,89.620,,
16.300,89.941,,
16.359,90.262,,
16.417,90.584,,
16.474,90.906,,
16.530,91.228,,
16.585,91.551,,
16.639,91.874,,
16.692,92.198,,
16.744,92.521,,
16.796,92.845,,
16.846,93.170,,
16.895,93.494,,
16.944,93.819,,
16.991,94.145,,
17.038,94.470,,
17.084,94.796,,
17.128,95.122,,
17.172,95.449,,
17.215,95.775,,
17.257,96.102,,
17.297,96.430,,
17.337,96.757,,
17.376,97.085,,
17.414,97.413,,
17.451,97.741,,
17.487,98.070,,
17.522,98.399,,
17.556,98.728,,
17.589,99.057,,
17.622,99.386,,
17.653,99.716,,
17.683,100.045,,
17.712,100.375,,
17.740,100.706,,
17.768,101.036,,
17.794,101.366,,
17.819,101.697,,
17.843,102.028,,
17.867,102.359,,
17.889,102.690,,
17.910,103.021,,
17.931,103.353,,
17.950,103.684,,
17.969,104.016,,
17.986,104.348,,
18.002,104.680,,
18.018,105.012,,
18.032,105.344,,
18.046,105.676,,
18.058,106.008,,
18.069,106.341,,
18.080,106.673,,
18.089,107.006,,
18.098,107.338,,
18.105,107.671,,
18.112,108.003,,
18.117,108.336,,
18.122,108.669,,
18.125,109.002,,
18.128,109.334,,
18.129,109.667,,
18.130,110.000,,
18.129,110.333,,
18.128,110.666,,
18.125,110.998,,
18.122,111.331,,
18.117,111.664,,
18.112,111.997,,
18.105,112.329,,
18.098,112.662,,
18.089,112.994,,
18.080,113.327,,
18.069,113.659,,
18.058,113.992,,
18.046,114.324,,
18.032,114.656,,
18.018,114.988,,
18.002,115.320,,
17.986,115.652,,
17.969,115.984,,
17.950,116.316,,
17.931,116.647,,
17.910,116.979,,
17.889,117.310,,
17.867,117.641,,
17.843,117.972,,
17.819,118.303,,
